Hour,Class_Label,Transaction_Count,Total_Amount
0,Fraud,6,1820.07
0,Legitimate,7689,462388.19
1,Fraud,10,1279.3200000000002
1,Legitimate,4210,263046.13
2,Fraud,57,4517.98
2,Legitimate,3271,229302.7
3,Fraud,17,233.91
3,Legitimate,3475,181618.25
4,Fraud,23,1548.2
4,Legitimate,2186,168631.03
5,Fraud,11,1416.67
5,Legitimate,2979,150103.51
6,Fraud,9,1007.32
6,Legitimate,4092,265804.88
7,Fraud,23,2757.7799999999997
7,Legitimate,7220,488451.32
8,Fraud,9,430.99
8,Legitimate,10267,911782.3
9,Fraud,16,1255.4099999999999
9,Legitimate,15822,1627574.41
10,Fraud,8,2349.61
10,Legitimate,16590,1818004.77
11,Fraud,53,6570.73
11,Legitimate,16803,1841070.84
12,Fraud,17,3406.54
12,Legitimate,15403,1631815.27
13,Fraud,17,2194.48
13,Legitimate,15348,1518316.07
14,Fraud,23,3641.12
14,Legitimate,16547,1711991.82
15,Fraud,26,2234.09
15,Legitimate,16435,1676775.52
16,Fraud,22,4505.45
16,Legitimate,16431,1698104.46
17,Fraud,29,3373.5
17,Legitimate,16137,1586126.45
18,Fraud,33,6345.14
18,Legitimate,17006,1309966.2
19,Fraud,19,2114.63
19,Legitimate,15630,1218295.72
20,Fraud,18,1510.41
20,Legitimate,16738,1247562.69
21,Fraud,16,1029.5
21,Legitimate,17687,1267585.68
22,Fraud,9,1442.0
22,Legitimate,15432,1077513.79
23,Fraud,21,3143.12
23,Legitimate,10917,750630.04
